post_id,title,category,score,num_comments,author,collected_at
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,87,26,mfilion,2026-04-14 15:40:09
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,87,43,bookofjoe,2026-04-14 15:40:10
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,267,109,dvaughan,2026-04-14 15:40:10
47733217,Exploiting the most prominent AI agent benchmarks,technology,579,140,Anon84,2026-04-14 15:40:11
47762851,Show HN A stateful UI runtime for reactive web apps in Go,technology,7,3,derstruct,2026-04-14 15:40:11
47764098,NimConf 2026 Dates Announced Registrations Open,worldnews,70,13,moigagoo,2026-04-14 15:40:14
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,73,62,adulion,2026-04-14 15:40:15
47759709,Lean proved this program correct then I found a bug,worldnews,325,152,bumbledraven,2026-04-14 15:40:15
47716840,Nucleus Nouns,worldnews,5,1,bewal416,2026-04-14 15:40:15
47714770,Show HN Run GUIs as Scripts,worldnews,8,1,zero-st4rs,2026-04-14 15:40:16
47765862,My brothers minesweeper site minesweeperorg has been running for 27 years,worldnews,11,1,restlessforge,2026-04-14 15:40:17
47766071,I Found It The Best Free Restaurant Bread in America,worldnews,10,0,jbegley,2026-04-14 15:40:18
47765872,US Treasury Seeking Access to Anthropics Mythos to Find Flaws,worldnews,6,1,helsinkiandrew,2026-04-14 15:40:18
47728823,What we learned building a Rust runtime for TypeScript,worldnews,76,13,vinhnx,2026-04-14 15:40:19
47751781,US appeals court declares 158yearold home distilling ban unconstitutional,worldnews,434,308,t-3,2026-04-14 15:40:19
47764975,Man suspected of Molotov attack Sam Altmans home charged with attempted murder,worldnews,7,1,Bender,2026-04-14 15:40:21
47746610,All elementary functions from a single binary operator,worldnews,826,270,pizza,2026-04-14 15:40:21
47763185,An open letter to the UK Government on digital privacy,worldnews,13,4,vsajip,2026-04-14 15:40:23
47739313,Seven countries now generate nearly all their electricity from renewables 2024,worldnews,658,473,mpweiher,2026-04-14 15:40:24
47760360,An Amazon warehouse worker died on the job at Oregon facility,worldnews,12,1,cebert,2026-04-14 15:40:25
47744132,Uncharted island soon to appear on nautical charts,worldnews,100,51,tannhaeuser,2026-04-14 15:40:27
47737542,Optimization of 32bit Unsigned Division by Constants on 64bit Targets,worldnews,110,14,mpweiher,2026-04-14 15:40:27
47739174,Show HN Oberon System 3 runs natively on Raspberry Pi 3 with ready SD card,worldnews,240,107,Rochus,2026-04-14 15:40:28
47764780,Colossal Pressure Russia targets university students for military recruitment,worldnews,6,0,breve,2026-04-14 15:40:29
47732020,Small models also found the vulnerabilities that Mythos found,worldnews,1269,340,dominicq,2026-04-14 15:40:30
47722333,Chimpanzees in Uganda locked in eightyear civil war say researchers,worldnews,438,276,neversaydie,2026-04-14 15:40:32
47721955,OpenClaws memory is unreliable and you dont know when it will break,worldnews,165,178,sonink,2026-04-14 15:40:33
47760781,Municipal water fluoridation adolescent IQ and cognition across the life course,worldnews,15,1,cpncrunch,2026-04-14 15:40:33
47687443,Volunteers turn a fans recordings of 10K concerts into an online treasure trove,worldnews,394,76,geox,2026-04-14 15:40:34
47756231,New Mexico governor signs nations first universal child care law,worldnews,29,12,eatonphil,2026-04-14 15:40:36
47753472,Nothing Ever Happens Polymarket bot that always buys No on nonsports markets,sports,457,251,m-hodges,2026-04-14 15:40:43
47741460,How longdistance couples use digital games to facilitate intimacy 2025,sports,129,38,radeeyate,2026-04-14 15:40:50
47698455,Starfling A onetap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-14 15:40:54
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 15:40:57
47749295,Show HN Equirect  a Rust VR video player,sports,13,1,greggman65,2026-04-14 15:41:00
47689165,Show HN I pipe free sports streams into Jellyfin  no ads just HLS,sports,120,36,pruz,2026-04-14 15:41:19
47723243,Combining spicy foods with mint boosts antiinflammatory effects 100x or more,sports,87,50,joeax,2026-04-14 15:41:26
47704430,Can It Resolve Doom Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 15:41:26
47737387,Show HN Bullseye2D  A Dart library for crossplatform 2D games,sports,4,1,joemanaco,2026-04-14 15:41:28
47717514,Inflation Rose to 33 in March Driven by Rising Fuel Costs,sports,63,3,JumpCrisscross,2026-04-14 15:41:30
47757469,We need PostQuantum Cryptography more than ever,science,22,0,ethanhawksley,2026-04-14 15:41:47
47738343,The Physics of GPS,science,161,35,maouida,2026-04-14 15:41:53
47756448,Probing the Planck scale with quantum computation,science,10,1,haxiomic,2026-04-14 15:41:53
47701769,The BraandGirdle Maker That Fashioned the Impossible for NASA,science,135,19,sohkamyung,2026-04-14 15:42:01
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 15:42:04
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 15:42:09
47759281,NASA Moon Base Users Guide pdf,science,6,1,sethbannon,2026-04-14 15:42:16
47743686,One DNA letter can trigger complete sex reversal,science,13,2,gmays,2026-04-14 15:42:31
47733222,Show HN Bitcoin and Quantum Computing  a threepart research series,science,6,1,nvk,2026-04-14 15:42:32
47756569,Show HN Ithihsas  a character explorer for Hindu epics built in a few hours,entertainment,159,42,cvrajeesh,2026-04-14 15:42:40
47742200,Show HN boringBar  a taskbarstyle dock replacement for macOS,entertainment,510,292,a-ve,2026-04-14 15:42:45
47724352,Filing the corners off my MacBooks,entertainment,1398,672,normanvalentine,2026-04-14 15:42:46
47757552,Show HN Continual Learning with md,entertainment,30,26,wenhan_zhou,2026-04-14 15:42:47
47741393,Textbooks and Methods of NoteTaking in Early Modern Europe 2008,entertainment,53,0,mooreds,2026-04-14 15:42:48
47758453,Your Favorite Movies Were CIA Propaganda video,entertainment,34,4,joe_mamba,2026-04-14 15:42:51
47721997,Show HN FluidCAD  Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 15:42:59
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 15:42:59
47754329,Show HN Farchive  SQLitebacked historypreserving compressed archive,entertainment,5,0,ekns,2026-04-14 15:43:00
47722011,Show HN A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-14 15:43:03
47705413,Show HN I built a Cargolike build tool for CC,entertainment,176,168,randerson_112,2026-04-14 15:43:03
47745300,Show HN A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 15:43:05
47758287,Dear Master an open letter from an early Facebook employee,entertainment,14,2,plonkus,2026-04-14 15:43:06
47730522,Show HN Waffle  Native macOS terminal that autotiles sessions into a grid,entertainment,40,21,olleeolleeollee,2026-04-14 15:43:08
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 15:43:08
47715339,Show HN Keeper  embedded secret store for Go help me break it,entertainment,63,33,babawere,2026-04-14 15:43:11
47694036,Show HN Orange Juice  Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14 15:43:14
47690797,Show HN GoBt Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-14 15:43:16
47696562,Show HN Is Hormuz open yet,entertainment,483,209,anonfunction,2026-04-14 15:43:17
47710835,Show HN Rust based eBook library for Python with MIT license,entertainment,33,3,larry-the-agent,2026-04-14 15:43:18
47704259,Show HN Gurukacom  free guided mediations No signup private works offline,entertainment,39,16,eummm,2026-04-14 15:43:19
47733479,Show HN A Better Internet,entertainment,10,3,tclancy,2026-04-14 15:43:20
47716617,Show HN Do All the Things,entertainment,27,8,brainbun,2026-04-14 15:43:23
47702791,Show HN 41 years sea surface temperature anomalies,entertainment,147,73,willmeyers,2026-04-14 15:43:26
47730540,Show HN We scanned uscisgov for thirdparty trackers The results are jarring,entertainment,7,0,simple_elephant,2026-04-14 15:43:27
